seed,policy,route_minutes,time_total,life_total,units_delivered,avg_minutes_per_unit,score_alpha,score_beta,weighted_score,deliveries,route
38,ORToolsTSPPolicy,26,106,3815991.6257367856,570,6694.722150415413,1.0,0.001,-3709.991625736786,10,"[0, 9, 10, 6, 7, 5, 2, 4, 8, 1, 3, 0]"
39,NearestNeighborPolicy,32,112,3815991.778650242,570,6694.722418684635,1.0,0.001,-3703.991778650242,10,"[0, 3, 4, 1, 2, 6, 5, 10, 8, 7, 9, 0]"
39,TwoOptPolicy,31,111,3815991.676273651,570,6694.722239076581,1.0,0.001,-3704.991676273651,10,"[0, 3, 4, 2, 1, 6, 5, 10, 8, 7, 9, 0]"
39,ORToolsTSPPolicy,22,102,3815991.5092617823,570,6694.721946073302,1.0,0.001,-3713.9915092617825,10,"[0, 9, 3, 7, 4, 2, 1, 6, 5, 10, 8, 0]"
40,NearestNeighborPolicy,37,117,3815991.547273717,570,6694.722012760907,1.0,0.001,-3698.991547273717,10,"[0, 8, 3, 5, 1, 10, 4, 2, 7, 6, 9, 0]"
40,TwoOptPolicy,37,117,3815991.441432964,570,6694.721827075376,1.0,0.001,-3698.991441432964,10,"[0, 8, 3, 5, 1, 10, 4, 2, 7, 6, 9, 0]"
40,ORToolsTSPPolicy,34,114,3815991.3045482915,570,6694.7215869268275,1.0,0.001,-3701.9913045482917,10,"[0, 6, 7, 2, 4, 1, 10, 9, 5, 8, 3, 0]"
41,NearestNeighborPolicy,36,116,3815991.4789931104,570,6694.7218929703695,1.0,0.001,-3699.9914789931104,10,"[0, 1, 5, 6, 3, 10, 4, 7, 9, 2, 8, 0]"
41,TwoOptPolicy,36,116,3815991.3775536683,570,6694.721715006435,1.0,0.001,-3699.9913775536684,10,"[0, 1, 5, 6, 3, 10, 4, 7, 9, 2, 8, 0]"
41,ORToolsTSPPolicy,27,107,3815991.4974568533,570,6694.7219253629,1.0,0.001,-3708.9914974568533,10,"[0, 8, 1, 9, 2, 3, 7, 5, 6, 10, 4, 0]"
42,NearestNeighborPolicy,35,115,3815991.4943278534,570,6694.721919873427,1.0,0.001,-3700.9914943278536,10,"[0, 8, 3, 5, 2, 6, 9, 10, 4, 1, 7, 0]"
42,TwoOptPolicy,33,113,3815991.4259890793,570,6694.721799980841,1.0,0.001,-3702.9914259890793,10,"[0, 8, 3, 5, 2, 6, 9, 1, 4, 10, 7, 0]"
42,ORToolsTSPPolicy,27,107,3815991.4476196137,570,6694.721837929147,1.0,0.001,-3708.9914476196136,10,"[0, 4, 1, 10, 5, 2, 7, 9, 6, 8, 3, 0]"
43,NearestNeighborPolicy,30,110,3815991.692096255,570,6694.722266835534,1.0,0.001,-3705.991692096255,10,"[0, 4, 6, 1, 5, 2, 3, 7, 8, 10, 9, 0]"
43,TwoOptPolicy,30,110,3815991.6812519035,570,6694.722247810357,1.0,0.001,-3705.9916812519036,10,"[0, 4, 6, 1, 5, 2, 3, 7, 8, 10, 9, 0]"
43,ORToolsTSPPolicy,21,101,3815991.845054878,570,6694.722535183996,1.0,0.001,-3714.991845054878,10,"[0, 4, 9, 3, 7, 6, 1, 5, 2, 8, 10, 0]"
44,NearestNeighborPolicy,34,114,3815991.516065494,570,6694.721958009639,1.0,0.001,-3701.991516065494,10,"[0, 1, 7, 4, 3, 5, 9, 6, 8, 2, 10, 0]"
44,TwoOptPolicy,34,114,3815991.5917470786,570,6694.722090784348,1.0,0.001,-3701.9915917470785,10,"[0, 1, 7, 4, 3, 5, 9, 6, 8, 2, 10, 0]"
